case,score
-05wY41ht1s_123000_133000,51.88
-05wY41ht1s_235000_245000,51.75
-0gYWIOfqdM_3000_8000,52.94
-1TeQpwlZGs_5000_15000,50.03
-2GLBKAHlUM_7000_17000,53.75
-3i2L9kChxg_160000_170000,47.84
-9HoMjD6Opk_0_5000,52.56
-9peZWsQHow_0_5000,55.2
-AEIKTejHRo_0_5000,54.47
-AfJKhf6P3U_5000_10000,52.2
-BAF0DHMqVA_10000_20000,57.75
-BAF0DHMqVA_118000_128000,53.38
-FynDh8x2Go_78000_88000,52.53
-I8C3cRr5TY_2000_7000,53.84
-MUg-WH0Ivk_0_5000,48.62
-NpIi1FoTXo_4000_9000,54.0
-OSpN9z9WOg_19000_29000,54.44
-PN3OIo-oT4_5000_10000,54.44
-StBx31J1As_0_5000,52.25
-WnE2d9e69U_0_5000,53.7
-X0E4OYFg-4_2000_7000,55.62
-XIpY07w9rQ_0_5000,54.7
-XL3T2VUZ0k_0_5000,55.25
-ZgzhlCiE5M_5000_10000,50.5
-_9NSq4U3nw_0_5000,50.0
-fbN1pRU8T4_0_10000,49.88
-jpvGQmpnLQ_5000_10000,52.84
-ovFIwvxiwI_0_5000,55.7
-qsq2azVqiY_0_5000,51.44
-vHBQ7ps8aA_5000_10000,53.53
-vUcGFlGbDw_2000_7000,51.6
-yxiMCu_7vc_0_5000,51.06
00Ag326f4gs_5000_10000,54.03
02sD1KJeoGA_125000_135000,58.66
02sD1KJeoGA_50000_60000,58.56
03FKtpwxQ9c_4000_9000,44.06
077_m7wNT3I_0_5000,53.88
081dgPO47vE_1000_6000,52.28
08zhZZn29jc_0_5000,56.38
09woAm5A_0E_2000_12000,53.2
0BbNMmop7Q0_5000_10000,47.9
0BdQPL4sZvQ_0_5000,50.44
0CFPiVzxuWc_5000_10000,53.4
0CYgwcte7Ko_0_10000,49.47
0CzC0-cXe8M_0_5000,56.75
0EESEzTk150_5000_10000,52.9
0JE4WXw4VFs_5000_10000,55.66
0UcGJ1G2MjM_0_5000,47.78
0W_gYR6p-D0_1000_6000,54.75
0_F8gJDq-vY_2000_12000,53.62
0_F8gJDq-vY_25000_35000,56.0
0b06i5LzIFw_0_5000,58.16
0bAhdllydes_3000_13000,51.6
0bjUq9XMMmQ_30000_40000,54.16
0cvPbD8PRxM_0_5000,54.97
0d9u2CymIxc_0_5000,49.72
0iOyidK8FJ0_0_5000,55.56
0jPN5nGZ1zQ_0_5000,52.94
0lq5Oey7ChY_30000_40000,49.38
0nlEOp7_mAc_140000_150000,55.0
0pQ6KjbWlkU_0_5000,50.28
0qFACVX__4c_0_5000,53.8
0wfl5s-9F90_10000_20000,47.78
0wfl5s-9F90_67000_77000,51.38
0xcBKwbIlU8_0_5000,52.44
0xcBKwbIlU8_70000_80000,55.06
1-3nedESLZs_1000_6000,53.62
1-Y--s0EaUY_175000_185000,52.12
11JTJe1Hj2k_0_5000,53.7
16roby7HLrA_40000_50000,53.4
17WW_p1N7BQ_0_5000,47.03
17wuoOULeY0_0_5000,48.84
1EI58xGWnWg_30000_40000,54.56
1LBBA76-TuQ_0_5000,52.06
1SQAU1GrDKQ_13000_23000,50.7
1U0tUEB4-XI_10000_20000,49.8
1ZhtOjwuNpc_0_5000,49.16
1_Q80fDGLRM_0_5000,50.34
1gVcuyz-6to_5000_10000,52.12
1iLtdzdbkw4_1000_11000,55.8
1iVgvqf5apU_0_5000,54.78
1ikYg55bxIg_120000_130000,49.5
1ikYg55bxIg_15000_25000,50.84
1ikYg55bxIg_180000_190000,48.75
1ikYg55bxIg_32000_42000,49.2
1lcEm0BPnlU_0_5000,53.94
1qsZurB3MXQ_0_5000,53.44
1tAwK_nixFE_0_5000,54.56
29CYFvjM1K8_17000_27000,55.72
29CYFvjM1K8_3000_13000,54.12
29leW_wEi2E_2000_7000,56.0
2NESqWU89V0_0_5000,45.34
2Pg8S4JDMJA_0_5000,56.84
2SqH6Vuu4lc_0_5000,53.12
2UuUxUmhugo_0_5000,53.06
